name,rating,popularity,cluster,performance
Arigato Sushi,3.3,26,0,Medium
Denny's,4.6,207,0,Medium
Famous Dave's Barbecue,4.6,376,0,Medium
Pizza Di Rocco,4.4,471,0,Medium
Sofra Istanbul,4.3,224,0,Medium
Salt,4.2,228,0,Medium
Genghis Grill,4.6,81,0,Medium
Olive Garden,4.1,422,0,Medium
Cho Gao - Crowne Plaza Abu Dhabi,4.4,246,0,Medium
Gazebo,4.0,355,0,Medium
Sangeetha Vegetarian Restaurant,3.6,268,0,Medium
Hot Palayok,4.5,162,0,Medium
Applebee's,4.0,205,0,Medium
Tikka Tonight,4.0,277,0,Medium
Bait El Khetyar,4.0,380,0,Medium
Indian By Nature,4.3,180,0,Medium
Via Delhi,4.0,525,0,Medium
Punjab Grill,4.9,216,0,Medium
Tamba,4.7,201,0,Medium
P.F. Chang's,4.2,435,0,Medium
The Cheesecake Factory,4.6,586,0,Medium
The Farm,3.9,927,0,Medium
Maharaja Bhog,4.1,1448,2,High
Rasoi Ghar,4.3,1281,2,High
Barbeque Nation,4.5,307,0,Medium
Farzi Cafe,4.5,909,0,Medium
AB's Absolute Barbecues,4.9,641,0,Medium
Carnival By Tresind,4.9,322,0,Medium
AB's Absolute Barbecues,4.8,2510,2,High
Hard Rock Cafe,4.5,1388,2,High
The Coffee Club,4.5,403,0,Medium
SALT,4.3,1351,2,High
Din Tai Fung,4.3,661,0,Medium
SpiceKlub,4.4,281,0,Medium
Tresind - Nassima Royal Hotel,4.9,1352,2,High
Grand Barbeque Buffet Restaurant,4.4,552,0,Medium
Red Lobster,3.2,506,0,Medium
The Cheesecake Factory,4.7,2424,2,High
Parker's,4.3,386,0,Medium
Applebee's,3.7,500,0,Medium
Grub Shack,4.3,544,0,Medium
Kamat,3.9,285,0,Medium
Vadakkan Pepper,3.8,210,0,Medium
Gazebo,4.1,372,0,Medium
Katis Restaurant,4.3,316,0,Medium
Zaroob,3.9,69,0,Medium
Derby,4.1,33,0,Medium
Nayaab Haandi,4.1,449,0,Medium
Najmat Lahore Restaurant,4.2,504,0,Medium
Saffron,4.1,192,0,Medium
